id,dep_delayed_15min
0,0.052528176
1,0.064268805
2,0.032545988
3,0.13586289
4,0.1961051
5,0.09952268
6,0.039310724
7,0.32560867
8,0.17980613
9,0.27419516
10,0.18705115
11,0.17034765
12,0.089654654
13,0.16725378
14,0.07981014
15,0.2356043
16,0.062103715
17,0.30537686
18,0.46135604
19,0.009899971
20,0.19699879
21,0.034823664
22,0.38068694
23,0.11563263
24,0.25410175
25,0.284676
26,0.0061199325
27,0.02174275
28,0.16178823
29,0.1567676
30,0.1192621
31,0.3735598
32,0.019092197
33,0.21539558
34,0.64221716
35,0.14716451
36,0.26673067
37,0.122978725
38,0.120458506
39,0.06592389
40,0.10945097
41,0.18254742
42,0.22053519
43,0.18575706
44,0.11753974
45,0.5820016
46,0.024105687
47,0.10984795
48,0.37197113
49,0.1269316
50,0.50213087
51,0.049123127
52,0.22164623
53,0.24038799
54,0.21950886
55,0.10979191
56,0.16439511
57,0.15705028
58,0.0784406
59,0.16034035
60,0.20695786
61,0.14655802
62,0.22330695
63,0.2599107
64,0.2047481
65,0.116162024
66,0.03174006
67,0.08522437
68,0.112312995
69,0.13971846
70,0.018008657
71,0.16436669
72,0.3271815
73,0.23201038
74,0.43036935
75,0.13168497
76,0.1254593
77,0.11958197
78,0.08014373
79,0.19646885
80,0.19399896
81,0.22550555
82,0.15990815
83,0.12573294
84,0.15652609
85,0.0077622803
86,0.058392346
87,0.13774844
88,0.19029588
89,0.17143612
90,0.13861226
91,0.25892133
92,0.09986681
93,0.082991645
94,0.2538895
95,0.22097684
96,0.37949696
97,0.070853174
98,0.19336388
99,0.22891071
100,0.16176564
101,0.21237968
102,0.052419957
103,0.23775037
104,0.018076262
105,0.15019527
106,0.3009167
107,0.057099108
108,0.11450449
109,0.1849807
110,0.16736169
111,0.14542142
112,0.4725612
113,0.026211351
114,0.077267185
115,0.12298304
116,0.11103825
117,0.25025436
118,0.041546866
119,0.15822802
120,0.4279119
121,0.2371314
122,0.21482049
123,0.24429587
124,0.18221521
125,0.048885882
126,0.060831618
127,0.022505186
128,0.093709625
129,0.49128807
130,0.28646505
131,0.08542427
132,0.02087923
133,0.19333921
134,0.018063363
135,0.16146761
136,0.20390269
137,0.105531015
138,0.022138318
139,0.039638612
140,0.5044329
141,0.13161266
142,0.2128461
143,0.3976928
144,0.17624985
145,0.1941519
146,0.100616135
147,0.1508232
148,0.13762958
149,0.45805937
150,0.5878145
151,0.2957034
152,0.09129925
153,0.16649085
154,0.14962563
155,0.146773
156,0.2823888
157,0.16146952
158,0.3242188
159,0.016564343
160,0.046404194
161,0.44490117
162,0.73822415
163,0.13515821
164,0.19751441
165,0.13630044
166,0.13974065
167,0.0363903
168,0.10922437
169,0.2763723
170,0.16515715
171,0.2129494
172,0.08624109
173,0.08300321
174,0.20931278
175,0.2362057
176,0.14463635
177,0.023058727
178,0.20742215
179,0.13349004
180,0.032994922
181,0.15984799
182,0.40327895
183,0.27532914
184,0.1357407
185,0.4775738
186,0.32736662
187,0.32857838
188,0.22765772
189,0.43050063
190,0.21115927
191,0.31685615
192,0.16035224
193,0.11894443
194,0.15081568
195,0.12856212
196,0.16239725
197,0.1671537
198,0.24525355
199,0.26982236
200,0.13814864
201,0.16519727
202,0.225651
203,0.01538731
204,0.016778054
205,0.1532975
206,0.7114291
207,0.009921063
208,0.17657761
209,0.15035133
210,0.025539972
211,0.07423899
212,0.12460293
213,0.33457485
214,0.1264792
215,0.1577982
216,0.028419143
217,0.1539278
218,0.2929102
219,0.16485065
220,0.14151946
221,0.28712037
222,0.2346328
223,0.095761225
224,0.3060126
225,0.1292295
226,0.3420607
227,0.38521272
228,0.23522176
229,0.44969535
230,0.022308731
231,0.11785699
232,0.17212294
233,0.16158432
234,0.16165303
235,0.05940774
236,0.028209487
237,0.08653564
238,0.22892866
239,0.17466404
240,0.112168714
241,0.31354555
242,0.1261533
243,0.10728668
244,0.13934034
245,0.23823628
246,0.22984704
247,0.34325916
248,0.26414368
249,0.39530915
250,0.27652177
251,0.03798607
252,0.090235636
253,0.115658864
254,0.44156045
255,0.30138963
256,0.10931357
257,0.030794919
258,0.18064089
259,0.029469047
260,0.33276206
261,0.06757361
262,0.36135492
263,0.18443261
264,0.24511492
265,0.2098569
266,0.28816116
267,0.081679866
268,0.21673396
269,0.38888654
270,0.04781872
271,0.1060245
272,0.22440703
273,0.034435168
274,0.45453894
275,0.06023418
276,0.051965553
277,0.23708275
278,0.086398534
279,0.32849178
280,0.16907196
281,0.32613987
282,0.14668716
283,0.021102278
284,0.28371423
285,0.3238577
286,0.1912556
287,0.08991408
288,0.16487515
289,0.025889605
290,0.09851489
291,0.11211061
292,0.28889108
293,0.1835582
294,0.3294623
295,0.030701872
296,0.012812556
297,0.11581397
298,0.1404011
299,0.16898541
300,0.20810959
301,0.20354237
302,0.068998784
303,0.19382447
304,0.08118268
305,0.31543618
306,0.12192778
307,0.17300726
308,0.21858041
309,0.32952
310,0.24027507
311,0.29650003
312,0.037164345
313,0.19264121
314,0.21398966
315,0.13285944
316,0.18736134
317,0.06387037
318,0.23789117
319,0.14775068
320,0.18476453
321,0.05217815
322,0.06848693
323,0.13664904
324,0.21075794
325,0.25367063
326,0.008590036
327,0.1903778
328,0.02907219
329,0.1476973
330,0.17649777
331,0.29511115
332,0.4198901
333,0.14269331
334,0.5540615
335,0.31535766
336,0.17763391
337,0.062415566
338,0.30718252
339,0.040579557
340,0.14279786
341,0.3696427
342,0.093874514
343,0.18310754
344,0.40199792
345,0.47859454
346,0.09479055
347,0.12792815
348,0.12975393
349,0.14173688
350,0.29356998
351,0.097332835
352,0.23229744
353,0.18314071
354,0.092547
355,0.22689492
356,0.032802936
357,0.18637979
358,0.09910763
359,0.32191974
360,0.1789797
361,0.028682437
